,index,What age range are you?,What is your gender?,What estimated range is your household's monthly income?,"Which area are you from? If not from Karachi please select ""Outside Karachi""",How often do you go to Clifton beach?,What are your top motivations for going to Clifton Beach? You can select up to 3,Which one of the following statements apply to you?,How do you feel regarding the caretaking and evolution of Clifton beach?
832,444,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
833,444dup,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,,Special events held in the vicinity,,
834,445,15 - 24 years,Male,"200,001 and above",Clifton Cantonment,Not often - I prefer other beaches,"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself at any time during the day,Negatively - I feel a sense of frustration and/or loss
835,445dup,15 - 24 years,Male,"200,001 and above",Clifton Cantonment,,Most accessible (public beach closest to urban Karachi),,
836,445dup,15 - 24 years,Male,"200,001 and above",Clifton Cantonment,,"Relief (from climate, from stresses, etc)",,
837,446,15 - 24 years,Male,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,Not often - I prefer other beaches,"Celebrating (personal milestones, special occasions, etc)",I feel safe visiting the beach by myself but only before sunset,Positively - There are several welcome developmental changes
838,447,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
839,447dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,,Special events held in the vicinity,,
840,448,15 - 24 years,Female,"150,001 - 175,000 rupees",North Nazimabad Town,Not often - I prefer other beaches,,I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
841,449,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Often (multiple times in a year),"Relief (from climate, from stresses, etc)",I feel safe visiting the beach by myself but only before sunset,Negatively - I feel a sense of frustration and/or loss
842,450,25 - 44 years,Male,Prefer not to answer,Ferozabad,Not often - I prefer other beaches,Most accessible (public beach closest to urban Karachi),I only visit the beach with company at any time during the day,
843,451,25 - 44 years,Female,"75,001 - 100,000 rupees",Clifton Cantonment,Not often - I prefer other beaches,"Activity (exercising, sports, running, etc)",I only visit the beach with company at any time during the day,Positively - There are several welcome developmental changes
844,451dup,25 - 44 years,Female,"75,001 - 100,000 rupees",Clifton Cantonment,,"Celebrating (personal milestones, special occasions, etc)",,
845,451dup,25 - 44 years,Female,"75,001 - 100,000 rupees",Clifton Cantonment,,"Relief (from climate, from stresses, etc)",,
846,452,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Not often - I prefer other beaches,"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Positively - There are several welcome developmental changes
847,453,45 years and above,Female,"200,001 and above",Clifton Cantonment,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Positively - There are several welcome developmental changes
848,453dup,45 years and above,Female,"200,001 and above",Clifton Cantonment,,"Relief (from climate, from stresses, etc)",,
849,454,15 - 24 years,Female,"150,001 - 175,000 rupees",North Nazimabad Town,Not often - I prefer other beaches,,I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
850,455,15 - 24 years,Male,"200,001 and above",Clifton Cantonment,Not often - I prefer other beaches,"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself at any time during the day,Negatively - I feel a sense of frustration and/or loss
851,455dup,15 - 24 years,Male,"200,001 and above",Clifton Cantonment,,Most accessible (public beach closest to urban Karachi),,
852,455dup,15 - 24 years,Male,"200,001 and above",Clifton Cantonment,,"Relief (from climate, from stresses, etc)",,
853,456,25 - 44 years,Male,"200,001 and above",Civil Lines,Not often - I prefer other beaches,Most accessible (public beach closest to urban Karachi),I feel safe visiting the beach by myself but only before sunset,Positively - There are several welcome developmental changes
854,457,15 - 24 years,Prefer not to answer,"200,001 and above",Outside Karachi,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself but only before sunset,Negatively - I feel a sense of frustration and/or loss
855,457dup,15 - 24 years,Prefer not to answer,"200,001 and above",Outside Karachi,,"Celebrating (personal milestones, special occasions, etc)",,
856,457dup,15 - 24 years,Prefer not to answer,"200,001 and above",Outside Karachi,,"Relief (from climate, from stresses, etc)",,
857,458,25 - 44 years,Female,"200,001 and above",Civil Lines,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
858,458dup,25 - 44 years,Female,"200,001 and above",Civil Lines,,"Relief (from climate, from stresses, etc)",,
859,458dup,25 - 44 years,Female,"200,001 and above",Civil Lines,,"Commerce (for work, for shopping, for restaurants, etc)",,
860,459,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Positively - There are several welcome developmental changes
861,459dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,,Most accessible (public beach closest to urban Karachi),,
862,459dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,,"Relief (from climate, from stresses, etc)",,
863,460,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
864,460dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,,Most accessible (public beach closest to urban Karachi),,
865,460dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,,"Relief (from climate, from stresses, etc)",,
866,461,15 - 24 years,Male,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself but only before sunset,Positively - There are several welcome developmental changes
867,461dup,15 - 24 years,Male,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,,Most accessible (public beach closest to urban Karachi),,
868,461dup,15 - 24 years,Male,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,,"Relief (from climate, from stresses, etc)",,
869,462,15 - 24 years,Male,"25,001 - 50,000 rupees",Gulzar-e-Hijri,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
870,462dup,15 - 24 years,Male,"25,001 - 50,000 rupees",Gulzar-e-Hijri,,Most accessible (public beach closest to urban Karachi),,
871,463,15 - 24 years,Female,"200,001 and above",Gulzar-e-Hijri,Not often - I prefer other beaches,"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
872,463dup,15 - 24 years,Female,"200,001 and above",Gulzar-e-Hijri,,Most accessible (public beach closest to urban Karachi),,
873,463dup,15 - 24 years,Female,"200,001 and above",Gulzar-e-Hijri,,"Relief (from climate, from stresses, etc)",,
874,464,15 - 24 years,Male,"200,001 and above",Clifton Cantonment,Not often - I prefer other beaches,"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself but only before sunset,Negatively - I feel a sense of frustration and/or loss
875,464dup,15 - 24 years,Male,"200,001 and above",Clifton Cantonment,,"Activity (exercising, sports, running, etc)",,
876,464dup,15 - 24 years,Male,"200,001 and above",Clifton Cantonment,,"Relief (from climate, from stresses, etc)",,
877,465,15 - 24 years,Female,"175,000 - 200,000 rupees",Clifton Cantonment,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
878,465dup,15 - 24 years,Female,"175,000 - 200,000 rupees",Clifton Cantonment,,"Activity (exercising, sports, running, etc)",,
879,466,25 - 44 years,Female,"50,001 - 75,000 rupees",Clifton Cantonment,Not often - I prefer other beaches,"Activity (exercising, sports, running, etc)",I only visit the beach with company and only before sunset,Positively - There are several welcome developmental changes
880,467,25 - 44 years,Female,"200,001 and above",,Not often - I prefer other beaches,,,Positively - There are several welcome developmental changes
881,468,25 - 44 years,Male,"Up to 25,000 rupees",Outside Karachi,I have never been to Clifton beach,"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself at any time during the day,Negatively - I feel a sense of frustration and/or loss
882,469,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
883,469dup,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,,"Relief (from climate, from stresses, etc)",,
884,470,15 - 24 years,Male,"50,001 - 75,000 rupees",,Frequently (multiple times a month),"Relief (from climate, from stresses, etc)",I feel safe visiting the beach by myself at any time during the day,Positively - There are several welcome developmental changes
885,471,25 - 44 years,Male,"100,001 - 125,000 rupees",Civil Lines,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
886,471dup,25 - 44 years,Male,"100,001 - 125,000 rupees",Civil Lines,,Most accessible (public beach closest to urban Karachi),,
887,472,25 - 44 years,Female,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself at any time during the day,Positively - There are several welcome developmental changes
888,472dup,25 - 44 years,Female,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,,Most accessible (public beach closest to urban Karachi),,
889,472dup,25 - 44 years,Female,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,,"Relief (from climate, from stresses, etc)",,
890,473,25 - 44 years,Male,Prefer not to answer,Clifton Cantonment,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself but only before sunset,Negatively - I feel a sense of frustration and/or loss
891,474,15 - 24 years,Female,"100,001 - 125,000 rupees",Clifton Cantonment,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
892,474dup,15 - 24 years,Female,"100,001 - 125,000 rupees",Clifton Cantonment,,Most accessible (public beach closest to urban Karachi),,
