,index,What age range are you?,What is your gender?,What estimated range is your household's monthly income?,"Which area are you from? If not from Karachi please select ""Outside Karachi""",What are your top priorities for Clifton Beach in the next year? You can select up to 3.,op: What would make Clifton Beach your favourite beach to go to? Please use this space for any feedback not covered by the survey,Is it important for Clifton Beach and the coast of Karachi to have a comprehensive plan across various ownership boundaries to guide its growth?
1212,451,25 - 44 years,Female,"75,001 - 100,000 rupees",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,Important
1213,451dup,25 - 44 years,Female,"75,001 - 100,000 rupees",Clifton Cantonment,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,
1214,451dup,25 - 44 years,Female,"75,001 - 100,000 rupees",Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1215,452,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Amenities (like: washrooms, washing areas, lockers, etc)",,Important
1216,452dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1217,452dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1218,453,45 years and above,Female,"200,001 and above",Clifton Cantonment,"Natural areas (like: forests, gardens, etc)",,Important
1219,453dup,45 years and above,Female,"200,001 and above",Clifton Cantonment,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,
1220,453dup,45 years and above,Female,"200,001 and above",Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1221,454,15 - 24 years,Female,"150,001 - 175,000 rupees",North Nazimabad Town,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",If it’s safe for women to go to,Important
1222,454dup,15 - 24 years,Female,"150,001 - 175,000 rupees",North Nazimabad Town,"Commerce (like: restaurants, bazaars, malls, etc)",,
1223,454dup,15 - 24 years,Female,"150,001 - 175,000 rupees",North Nazimabad Town,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1224,455,15 - 24 years,Male,"200,001 and above",Clifton Cantonment,"Amenities (like: washrooms, washing areas, lockers, etc)",Clean water because  majority of sewerage gets dumped into open sea currently,Important
1225,455dup,15 - 24 years,Male,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1226,455dup,15 - 24 years,Male,"200,001 and above",Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1227,456,25 - 44 years,Male,"200,001 and above",Civil Lines,"Amenities (like: washrooms, washing areas, lockers, etc)","I personally cannot enjoy the beach with a lot of public around, but the beach should be safe, clean and accessible space for the public 24/7 including safe sand activities for children, water sports, and most importantly showers/washrooms designed to remain clean and accessible throughout",Indifferent
1228,456dup,25 - 44 years,Male,"200,001 and above",Civil Lines,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1229,456dup,25 - 44 years,Male,"200,001 and above",Civil Lines,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1230,457,15 - 24 years,Prefer not to answer,"200,001 and above",Outside Karachi,"Amenities (like: washrooms, washing areas, lockers, etc)",,Not Important
1231,457dup,15 - 24 years,Prefer not to answer,"200,001 and above",Outside Karachi,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1232,457dup,15 - 24 years,Prefer not to answer,"200,001 and above",Outside Karachi,"Natural areas (like: forests, gardens, etc)",,
1233,458,25 - 44 years,Female,"200,001 and above",Civil Lines,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",Cleanliness and safety for women,Indifferent
1234,458dup,25 - 44 years,Female,"200,001 and above",Civil Lines,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1235,458dup,25 - 44 years,Female,"200,001 and above",Civil Lines,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1236,459,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",Tree cover/shade.. many beaches in Karachi don't have natural shade. This factor makes it harder to visit the beach unless you have access to a beach hut. If there were trees providing shade that would ensure more democratic access to the beach as you would just be able to sit under trees/shaded areas without having to pay ,Indifferent
1237,459dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,
1238,459dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Natural areas (like: forests, gardens, etc)",,
1239,460,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,Important
1240,460dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1241,460dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1242,461,15 - 24 years,Male,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,Important
1243,461dup,15 - 24 years,Male,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,
1244,461dup,15 - 24 years,Male,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1245,462,15 - 24 years,Male,"25,001 - 50,000 rupees",Gulzar-e-Hijri,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",i honestly dont care about it being my favorite beach. i prefer empty beaches and that just cannot happen with clifton,Indifferent
1246,463,15 - 24 years,Female,"200,001 and above",Gulzar-e-Hijri,"Amenities (like: washrooms, washing areas, lockers, etc)",,Indifferent
1247,463dup,15 - 24 years,Female,"200,001 and above",Gulzar-e-Hijri,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1248,463dup,15 - 24 years,Female,"200,001 and above",Gulzar-e-Hijri,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,
1249,464,15 - 24 years,Male,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",Cleanliness and proper trash disposal.,Important
1250,464dup,15 - 24 years,Male,"200,001 and above",Clifton Cantonment,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,
1251,464dup,15 - 24 years,Male,"200,001 and above",Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1252,465,15 - 24 years,Female,"175,000 - 200,000 rupees",Clifton Cantonment,"Commerce (like: restaurants, bazaars, malls, etc)",I would love to see a setting like ‘la-mer dubai’ here at sea view,Indifferent
1253,465dup,15 - 24 years,Female,"175,000 - 200,000 rupees",Clifton Cantonment,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,
1254,465dup,15 - 24 years,Female,"175,000 - 200,000 rupees",Clifton Cantonment,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1255,466,25 - 44 years,Female,"50,001 - 75,000 rupees",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",If it was cleaner and safer for girls. I go cycling with my friends to seaview but we feel unsafe ,Important
1256,466dup,25 - 44 years,Female,"50,001 - 75,000 rupees",Clifton Cantonment,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,
1257,466dup,25 - 44 years,Female,"50,001 - 75,000 rupees",Clifton Cantonment,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1258,467,25 - 44 years,Female,"200,001 and above",,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)","Hey! First snd foremost the cleanliness. I’ve been there when I was younger and have crossed it over the years and I have not once wanted to go there to unwind myself. I have lived outside of Pakistan as well and I would normally find myself going to the seafront to collect my thoughts, de stress and just be. I don’t see myself doing that at the Clifton beach, and I guess that’s what makes it Clifton beach. The chaotic, noisy, colourful karachi Clifton beach. Men and women staring at you like you’re from another planet, trash everywhere, the unpleasant smell. For me personally, I would like a little bit of quiet, peace, clean sand in my toes. 
I understand I don’t look like the general public here, I don’t dress like them, I wouldn’t go there for the same reasons they would. I’d still like to be given some space there without feeling judged or stared at, where I feel safe snd not out of place. I also really wish the people here stopped littering and took care of the beach like it’s theirs. ",Important
1259,467dup,25 - 44 years,Female,"200,001 and above",,"Natural areas (like: forests, gardens, etc)",,
1260,468,25 - 44 years,Male,"Up to 25,000 rupees",Outside Karachi,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,Important
1261,469,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",Cleaner safer,Important
1262,469dup,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,
1263,469dup,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1264,470,15 - 24 years,Male,"50,001 - 75,000 rupees",,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",I am working in front of Clifton beach so its easy to catch beautiful momen.,Important
1265,470dup,15 - 24 years,Male,"50,001 - 75,000 rupees",,"Natural areas (like: forests, gardens, etc)",,
1266,470dup,15 - 24 years,Male,"50,001 - 75,000 rupees",,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1267,471,25 - 44 years,Male,"100,001 - 125,000 rupees",Civil Lines,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",I feel cleanliness would have a big impact. ,Important
1268,471dup,25 - 44 years,Male,"100,001 - 125,000 rupees",Civil Lines,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1269,471dup,25 - 44 years,Male,"100,001 - 125,000 rupees",Civil Lines,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1270,472,25 - 44 years,Female,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,"Amenities (like: washrooms, washing areas, lockers, etc)",I would love it if there was street Musicians and a vibrant city life scene. Like none of it was termed 'encroachments' and working class people were removed. If you see the Embarcadero in San Francisco or the Santa Monica pier in LA it is so fun and inviting because of street vendors and musicians.,Important
1271,472dup,25 - 44 years,Female,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,
1272,472dup,25 - 44 years,Female,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1273,473,25 - 44 years,Male,Prefer not to answer,Clifton Cantonment,"Amenities (like: washrooms, washing areas, lockers, etc)",Would be a fine start if there is no sewer discharge next to it. This makes the idea of going in the water a little repulsive to say the least. ,Important
1274,473dup,25 - 44 years,Male,Prefer not to answer,Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1275,473dup,25 - 44 years,Male,Prefer not to answer,Clifton Cantonment,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1276,474,15 - 24 years,Female,"100,001 - 125,000 rupees",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,Important
1277,474dup,15 - 24 years,Female,"100,001 - 125,000 rupees",Clifton Cantonment,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,
1278,474dup,15 - 24 years,Female,"100,001 - 125,000 rupees",Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1279,475,15 - 24 years,Female,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,Important
1280,475dup,15 - 24 years,Female,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,"Natural areas (like: forests, gardens, etc)",,
1281,475dup,15 - 24 years,Female,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1282,476,15 - 24 years,Female,"50,001 - 75,000 rupees",Jamshed Quarters,"Amenities (like: washrooms, washing areas, lockers, etc)","If we all own the beach and behave sensibly. The environment around is very important. Also, if we get some basic facilities like washrooms, seating facility and lights for visibility during night would make the experience better. To get rid off my sense of loss that occurs when I see the beach, we need to recreate it.",Important
1283,476dup,15 - 24 years,Female,"50,001 - 75,000 rupees",Jamshed Quarters,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1284,476dup,15 - 24 years,Female,"50,001 - 75,000 rupees",Jamshed Quarters,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,
1285,477,15 - 24 years,Male,"Up to 25,000 rupees",North Nazimabad Town,"Amenities (like: washrooms, washing areas, lockers, etc)",,Indifferent
1286,477dup,15 - 24 years,Male,"Up to 25,000 rupees",North Nazimabad Town,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1287,477dup,15 - 24 years,Male,"Up to 25,000 rupees",North Nazimabad Town,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1288,478,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)","Less crowded, but can't do anything about that.",Indifferent
1289,478dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
